"var","time","Min.","2.5%","Median","Mean","97.5%","Max."
"I",0,1,1,1,1,1,1
"I",0.0833333333333333,1,1,1,1,1,1
"I",0.166666666666667,1,1,1,1,1,1
"I",0.2,1,1,1,1,1,1
"I",0.25,1,1,1,1,1,1
"I",0.333333333333333,1,1,1,1,1,1
"I",0.416666666666667,1,1,1,1,1,1
"I",0.5,1,1,1,1,1,1
"I",0.583333333333333,1,1,1,1,1,1
"I",0.666666666666667,1,1,1,1,1,1
"I",0.75,1,1,1,1,1,1
"I",0.833333333333333,1,1,1,1,1,1
"I",0.916666666666667,1,1,1,1,1,1
"I",1,1,1,1,1,1,1
"I",1.08333333333333,1,1,1,1,1,1
"I",1.16666666666667,1,1,1,1,1,1
"I",1.25,1,1,1,1,1,1
"I",1.33333333333333,1,1,1,1,1,1
"I",1.41666666666667,1,1,1,1,1,1
"I",1.5,1,1,1,1,1,1
"I",1.58333333333333,1,1,1,1,1,1
"I",1.66666666666667,1,1,1,1,1,1
"I",1.75,1,1,1,1,1,1
"I",1.83333333333333,1,1,1,1,1,1
"I",1.91666666666667,1,1,1,1,1,1
"I",2,1,1,1,1,1,1
"I",2.08333333333333,1,1,1,1,1,1
"I",2.1,1,1,1,1,1,1
"I",2.16666666666667,1,1,1,1,1,1
"I",2.25,1,1,1,1,1,1
"I",2.33333333333333,1,1,1,1,1,1
"I",2.41666666666667,1,1,1,1,1,1
"I",2.5,1,1,1,1,1,1
"I",2.58333333333333,1,1,1,1,1,1
"I",2.66666666666667,1,1,1,1,1,1
"I",2.75,1,1,1,1,1,1
"I",2.8,1,1,1,1,1,1
"I",2.83333333333333,1,1,1,1,1,1
"I",2.91666666666667,1,1,1,1,1,1
"I",3,1,1,1,1,1,1
"I",3.08333333333333,1,1,1,1,1,1
"I",3.16666666666667,1,1,1,1,1,1
"I",3.25,1,1,1,1,1,1
"I",3.33333333333333,1,1,1,1,1,1
"I",3.41666666666667,1,1,1,1,1,1
"I",3.5,1,1,1,1,1,1
"I",3.58333333333333,1,1,1,1,1,1
"I",3.66666666666667,1,1,1,1,1,1
"I",3.75,1,1,1,1,1,1
"I",3.83333333333333,1,1,1,1,1,1
"I",3.91666666666667,1,1,1,1,1,1
"I",4,1,1,1,1,1,1
"I",4.08333333333333,1,1,1,1,1,1
"I",4.16666666666667,1,1,1,1,1,1
"I",4.25,1,1,1,1,1,1
"I",4.33333333333333,1,1,1,1,1,1
"I",4.41666666666667,1,1,1,1,1,1
"I",4.5,1,1,1,1,1,1
"I",4.58333333333333,1,1,1,1,1,1
"I",4.66666666666667,1,1,1,1,1,1
"I",4.75,1,1,1,1,1,1
"I",4.8,1,1,1,1,1,1
"I",4.83333333333333,1,1,1,1,1,1
"I",4.91666666666667,1,1,1,1,1,1
"I",5,1,1,1,1,1,1
"I",5.08333333333333,1,1,1,1,1,1
"I",5.16666666666667,1,1,1,1,1,1
"I",5.2,1,1,1,1,1,1
"I",5.25,1,1,1,1,1,1
"I",5.33333333333333,1,1,1,1,1,1
"I",5.41666666666667,1,1,1,1,1,1
"I",5.5,1,1,1,1,1,1
"I",5.58333333333333,1,1,1,1,1,1
"I",5.66666666666667,1,1,1,1,1,1
"I",5.75,1,1,1,1,1,1
"I",5.83333333333333,1,1,1,1,1,1
"I",5.91666666666667,1,1,1,1,1,1
"I",6,1,1,1,1,1,1
"I",6.08333333333333,1,1,1,1,1,1
"I",6.16666666666667,1,1,1,1,1,1
"I",6.25,1,1,1,1,1,1
"I",6.33333333333333,1,1,1,1,1,1
"I",6.41666666666667,1,1,1,1,1,1
"I",6.5,1,1,1,1,1,1
"I",6.58333333333333,1,1,1,1,1,1
"I",6.66666666666667,1,1,1,1,1,1
"I",6.75,1,1,1,1,1,1
"I",6.83333333333333,1,1,1,1,1,1
"I",6.91666666666667,1,1,1,1,1,1
"I",7,1,1,1,1,1,1
"I",7.08333333333333,1,1,1,1,1,1
"I",7.16666666666667,1,1,1,1,1,1
"I",7.25,1,1,1,1,1,1
"I",7.33333333333333,1,1,1,1,1,1
